Label,Raw_tweet,Cleaned_Traditional,Cleaned_GPT,Cleaned_GPT+Traditional,Translated_Cleaned_Traditional,Translated_Cleaned_GPT,Translated_Cleaned_GPT+Traditional,Translated_Traditional,Translated_GPT,Translated_GPT+Traditional
happy,"sebenernya awal gua naksir yg coklat, tp wkt itu stock kosong T^T krn w kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! jadinya beli yg ada stocknya aja.. akhirnya w berjodoh dengan ""STEEL""",sebenarnya awal saya menaksir yang coklat tetapi waktu itu stock kosong t t karena saya ingin tahu parah sama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat jadinya beli yang ada stocknya aja akhirnya saya berjodoh dengan baja,"Sebenernya awal saya naksir yang coklat, tapi waktu itu stock kosong karena saya kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! Jadinya beli yang ada stocknya saja.. akhirnya saya berjodoh dengan ""STEEL""",sebenarnya awal saya menaksir yang coklat tetapi waktu itu stock kosong karena saya ingin tahu parah sama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat jadinya beli yang ada stocknya saja akhirnya saya berjodoh dengan baja,"Actually, I started the brown on the beginning but at that time the Stock was empty T T because I wanted to know badly with this sound of this headphone and the desire to have it was too strong so I just bought the stock, I finally had a match with steel","Actually, I had a crush on the brown, but at that time the stock was empty because I was very bad and this sound of the headphone and the desire to have it was too strong!So just buy the stock only ... finally I have a match with ""steel""","Actually, I estimated the brown on the beginning but at that time the stock was empty because I wanted to know badly at this sound of this headphone and the desire to have it was too strong so I just bought the stock, finally I was paired with steel","Actually, I started the brown on the beginning but at that time the Stock was empty T T because I wanted to know badly with this sound of this headphone and the desire to have it was too strong so I just bought the stock, I finally had a match with steel","Actually, I had a crush on the brown, but at that time the stock was empty because I was very bad and this sound of the headphone and the desire to have it was too strong!So just buy the stock only ... finally I have a match with ""steel""","Actually, I estimated the brown on the beginning but at that time the stock was empty because I wanted to know badly at this sound of this headphone and the desire to have it was too strong so I just bought the stock, finally I was paired with steel"
fear,"Berat badanku 77kg, aku minder, aku takut di bully, aku takut mereka yg bilang cantik itu langsing bukan C A N T I K Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku [URL]",berat badanku kilogram saya minder saya takut di rundung saya takut mereka yang bilang cantik itu langsing bukan sih a dan t i ke saya juga takut dibilang gapura kecamatan janganbullyaku,"Berat badanku 77 kg, aku minder, aku takut di bully, aku takut mereka yang bilang cantik itu langsing bukan CANTIK. Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku",berat badanku kilogram saya minder saya takut di rundung saya takut mereka yang bilang cantik itu langsing bukan cantik saya juga takut dibilang gapura kecamatan janganbullyaku,"My weight is my kilogram, I'm afraid that I am afraid that I am afraid that those who say beautiful are slim not a and t i to me are also afraid","Weight 77 kg, I'm inferior, I'm afraid of being bullied, I'm afraid those who say beautiful are slim not beautiful.I'm also afraid of being called the ""sub -district gate"" #janganbullyaku","My weight is my kilogram, I'm afraid that I am afraid that I am afraid that those who say beautiful are slim not beautiful, I'm also afraid","My weight is my kilogram, I'm afraid that I am afraid that I am afraid that those who say beautiful are slim not a and t i to me are also afraid","Weight 77 kg, I'm inferior, I'm afraid of being bullied, I'm afraid those who say beautiful are slim not beautiful.I'm also afraid of being called the ""sub -district gate"" #janganbullyaku","My weight is my kilogram, I'm afraid that I am afraid that I am afraid that those who say beautiful are slim not beautiful, I'm also afraid"
sadness,"(c.) jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya (c",sih jalan tol ia sungguh sedih mengingat kejadian kejadian di kehidupannya tidak kuat menahan sedih dirinya mencoba mengakhiri hidupnya sambil menatap bayi aurora yang tengah terlelap dan tersenyum tidak kuasa melihat malaikat kecil nya yang begitu cantik mengurungkan niatnya sih,"Jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya.",jalan tol ia sungguh sedih mengingat kejadian kejadian di kehidupannya tidak kuat menahan sedih dirinya mencoba mengakhiri hidupnya sambil menatap bayi aurora yang tengah terlelap dan tersenyum tidak kuasa melihat malaikat kecil nya yang begitu cantik mengurungkan niatnya,Error: 'Translator' object has no attribute 'raise_Exception',"Toll road.He was really sad to remember the events in his life.Unable to hold back sadness, he tried to end his life while staring at Aurora's baby who was sleeping and smiling.I could not see her little angels that were so beautiful to discourage her intentions.",Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception',The toll road he was really sad considering the incident in his life could not hold back sadness he tried to end his life while staring at the baby Aurora who was sleeping and smiling could not see his little angel so beautiful
anger,"Ya gue tau sih, bukan grup kita yg digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas2 public figure, dan ngomong dengan enaknya di video bahan c**i? Gue ngetik aja ga nyaman. Wah gue lisa digituin aja gue semarah ini, gimana bangtan? -.-",iya saya tahu sih bukan grup kita yang diperlakukan seperti itu tetapi sesama cewek terus dibilang bahan begituan masih bisa terima dia jelas public figure dan bicara dengan enaknya di video bahan sih i saya ketik saja tidak nyaman wah saya lisa diperlakukan seperti itu saja saya semarah ini bagaimana bangtan,"Ya saya tahu sih, bukan grup kita yang digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas-jelas public figure, dan ngomong dengan enaknya di video bahan coli? Saya ngetik saja tidak nyaman. Wah saya Lisa digituin saja saya se marah ini, gimana Bangtan? -.-",iya saya tahu sih bukan grup kita yang diperlakukan seperti itu tetapi sesama cewek terus dibilang bahan begituan masih bisa terima dia jelas jelas public figure dan bicara dengan enaknya di video bahan coli saya ketik saja tidak nyaman wah saya lisa diperlakukan seperti itu saja saya se marah ini bagaimana bangtan,"Yes, I know that it is not our group that is treated like that but fellow girls continue to be said to be like that, they can still accept him clearly public figures and talk deliciously in the video material, I just typed uncomfortable wow, I was treated like that.Bangtan",Error: 'Translator' object has no attribute 'raise_Exception',"Yes, I know that it is not our group that is treated like that but fellow girls continue to be said to be like that material can still be accepted him clearly public figures and talk deliciously in the video coli I just type uncomfortable wow, I am Lisa being treated like that.how bangtan","Yes, I know that it is not our group that is treated like that but fellow girls continue to be said to be like that, they can still accept him clearly public figures and talk deliciously in the video material, I just typed uncomfortable wow, I was treated like that.Bangtan","Yes, I know, it's not our group that is that.But fellow girls, keep arguably the ingredients of Gituan .... can you still accept?He is clearly a public figure, and talks with goodness in the video of coli material?I just typed uncomfortable.Wow, I'm just like that, I am as angry, how about bangtan?-.-","Yes, I know that it is not our group that is treated like that but fellow girls continue to be said to be like that material can still be accepted him clearly public figures and talk deliciously in the video coli I just type uncomfortable wow, I am Lisa being treated like that.how bangtan"
fear,"ketika idung nyium bau bau gaenak lalu temen yg rumahnya lumayan jauh ngechat di wa ""kalian nyium bau gas ga ?"" NJIRRR IYA INI BAU GAS  INI BUKAN GAS BERACUN KAN HUH ? KO JADI PARNO SIH",timbang timbang anakku sayang buah hati ku sepajang jalan siang malan aku selalu berdoa semoga kelak kamu bahagia selalu hari anak nasional,"Ketika hidung mencium bau tidak enak lalu teman yang rumahnya lumayan jauh mengirim pesan di WhatsApp ""kalian mencium bau gas ga?"" NJIRRR IYA INI BAU GAS INI BUKAN GAS BERACUN KAN HUH? KENAPA JADI PARANOID SIH",ketika hidung mencium bau tidak enak lalu teman yang rumahnya lumayan jauh mengirim pesan di whatsapp kalian mencium bau gas tidak nji iya ini bau gas ini bukan gas beracun kan apa kenapa jadi takut sih,"Weigh my son, love my baby along the afternoon, I always pray that someday you will be happy always national children's day","When the nose smells bad, then a friend whose house is quite far to send messages on WhatsApp ""Do you smell gas or not?""Njirrr yes, this gas smell is not a poison gas right huh?Why is it paranoid","When the nose smells bad, then a friend whose house is quite far sending messages on Whatsapp you smell the smell of gas, this is not the smell of gas, right?","Weigh my son, love my baby along the afternoon, I always pray that someday you will be happy always national children's day","When the nose smells bad, then a friend whose house is quite far to send messages on WhatsApp ""Do you smell gas or not?""Njirrr yes, this gas smell is not a poison gas right huh?Why is it paranoid","When the nose smells bad, then a friend whose house is quite far sending messages on Whatsapp you smell the smell of gas, this is not the smell of gas, right?"
fear,"/rlt guys aku mau nanya. Aku bingung, aku ketrima u'p'n vj sama un air. Aku suka jurusan yg di u pn tp aku anak daerah, agak takut di jkt. Dan yg un air uda dibayar. Mohon sarannya.",rlt teman-teman saya ingin bertanya saya bingung saya diterima u p dan veteran jakarta sama un air saya suka jurusan yang di kamu pn tetapi saya anak daerah agak takut di jakarta dan yang un air sudah dibayar mohon sarannya,"Guys aku mau bertanya. Aku bingung, aku diterima upnvj sama universitas negeri. Aku suka jurusan yang di upn tp aku anak daerah, agak takut di Jakarta. Dan yang universitas negeri sudah dibayar. Mohon sarannya.",teman-teman saya ingin bertanya saya bingung saya diterima upnvj sama universitas negeri saya suka jurusan yang di Universitas Pembangunan Nasional tetapi saya anak daerah agak takut di jakarta dan yang universitas negeri sudah dibayar mohon sarannya,Error: 'Translator' object has no attribute 'raise_Exception',"Guys I want to ask.I'm confused, I was accepted by UPNVJ and State University.I like the majors in UPN but I'm a regional kid, rather scared in Jakarta.And the state university has been paid.Please advise.",Error: 'Translator' object has no attribute 'raise_Exception',"RLT my friends want to ask I am confused I was accepted by U P and Veterans Jakarta and Un Water I like the majors that you are in PN but I am a regional child who is somewhat scared in Jakarta and the un water has been paid, please advice","Guys I want to ask.I'm confused, I was accepted by UPNVJ and State University.I like the majors in UPN but I'm a regional kid, rather scared in Jakarta.And the state university has been paid.Please advise.",Error: 'Translator' object has no attribute 'raise_Exception'
anger,"heii..hey km para kaum adam hr gini msih mau aj Trnsfer""/ DP""sedihh kan klw di block stelah Tf...mk ny yg Real"" aja klw mw ktmuan sma kaum hawa...hihiiihii",hai hey kamu para kaum adam hari begini masih ingin saja trnsfer uang muka sedih kan kalau di block setelah tf maka nya yang real saja kalau ingin ktmuan sama kaum hawa hihhii,"Hei, hey kamu para kaum Adam hari ini masih mau aja transfer atau DP sedih kan kalau diblock setelah transfer. Mungkin yang real aja kalau mau ketemuan sama kaum hawa. hehehe",hei hey kamu para kaum adam hari ini masih ingin saja transfer atau uang muka sedih kan kalau diblock setelah transfer mungkin yang real saja kalau ingin bertemu sama kaum hawa hehe,Hi hey you are the adam people like this still want a sad payment transfer right if it is blocked after TF then it is real if you want to ktmuan with women hih hii,Error: 'Translator' object has no attribute 'raise_Exception',Hey Hey You the adam people today still want the transfer or sad payment right if it is blocked after the transfer may be real if you want to meet with women hehe,Hi hey you are the adam people like this still want a sad payment transfer right if it is blocked after TF then it is real if you want to ktmuan with women hih hii,"Hey, hey you adam today still want to transfer or dp sad right if it is blocked after the transfer.Maybe just real if you want to meet with women.hehehe",Error: 'Translator' object has no attribute 'raise_Exception'
anger,dia ! emang'a apa kya a tahu ! masalah'a sih sepele tapi bisa bikin saya ngedown,dia memang a apa kaya a tahu masalah a sih sepele tetapi bisa buat saya ngedown,"Dia! Emangnya apa ya, kayaknya tau! Masalahnya sih sepele tapi bisa bikin saya down.",dia memangnya apa iya kayaknya tahu masalahnya sih sepele tetapi bisa buat saya down,Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception',"what he really does, I think you know the problem, but it can be down",he really is like a know a problem A is trivial but can make me down,"He!What do you think, I think you know!The problem is trivial but it can make me down.",Error: 'Translator' object has no attribute 'raise_Exception'
anger,Hey kamuuhhh!! semoga qt dijauhkan dari keputusan yang bodoh ituu Selamat menjalankan ibadah puasa juga budiirrr@olfi_opi,hey kamuu semoga kita dijauhkan dari keputusan yang bodoh itu selamat menjalankan ibadah puasa juga budii,Hey kamu! Semoga kita dijauhkan dari keputusan yang bodoh itu. Selamat menjalankan ibadah puasa juga. @olfi_op,hey kamu semoga kita dijauhkan dari keputusan yang bodoh itu selamat menjalankan ibadah puasa juga,"Hey you, hopefully we will be kept away from that stupid decision, congratulations on fasting as well as Budii",Hey you!May we be kept away from that stupid decision.Congratulations on fasting too.@olfi_op,"Hey you, hopefully we will be kept away from that stupid decision, congratulations on fasting too","Hey you, hopefully we will be kept away from that stupid decision, congratulations on fasting as well as Budii",Hey you!May we be kept away from that stupid decision.Congratulations on fasting too.@olfi_op,Error: 'Translator' object has no attribute 'raise_Exception'
love,"Tadi Siang,Aku Mimpi Bang Tomi.Di Mimpi Itu Aku dan Bang Tomi Kelihatan Akrab...bngt.Sampe,Bang Tomi Ngerangkul Pundak Aku Erat...bngt.Apa,ya...Arti Mimpi itu...???",tadi siang aku mimpi bang tomi di mimpi itu saya dan bang tomi kelihatan akrab banget sampai bang tomi ngerangkul pundak saya erat banget apa iya arti mimpi itu,"Tadi siang, aku mimpi Bang Tomi. Di mimpi itu aku dan Bang Tomi kelihatan akrab banget. Sampe, Bang Tomi merangkul pundak aku erat banget. Apa, ya...Arti mimpi itu...?",tadi siang saya mimpi bang tomi di mimpi itu saya dan bang tomi kelihatan akrab banget sampai bang tomi merangkul pundak saya erat banget apa iya arti mimpi itu,This afternoon I dreamed Bang Tomi in that dream me and Bang Tomi looked very familiar until Bang Tomi embraced my shoulder very tightly what the meaning of that dream,"This afternoon, I dreamed Bang Tomi.In that dream I and Bang Tomi looked very familiar.Until, Bang Tomi embraced my shoulders very tightly.What, yes ... the meaning of the dream ...?",This afternoon I dreamed Bang Tomi in that dream me and Bang Tomi looked very familiar until Bang Tomi embraced my shoulders very tightly what the meaning of that dream,Error: 'Translator' object has no attribute 'raise_Exception',"This afternoon, I dreamed Bang Tomi.In that dream I and Bang Tomi looked very familiar.Until, Bang Tomi embraced my shoulders very tightly.What, yes ... the meaning of the dream ...?",This afternoon I dreamed Bang Tomi in that dream me and Bang Tomi looked very familiar until Bang Tomi embraced my shoulders very tightly what the meaning of that dream
happy,"Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: Iiikancut luuu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter",ingat tebak tebakan dulu budi ikan ikan apa yang bentuknya segitiga aisyah ikan sepat budi kurang tepat sayang aisyah terus apa dong mendesak penasaran budi kancut l nb seketika hening detik kemudian tertawa malu wkwkwkwk recehkan twitter,"Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: ikancutlu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter",ingat tebak tebakan dulu budi ikan ikan apa yang bentuknya segitiga aisyah ikan sepat budi kurang tepat sayang aisyah terus apa dong mendesak penasaran budi ikancutlu nb seketika hening detik kemudian tertawa malu wkwkwkwk recehkan twitter,Error: 'Translator' object has no attribute 'raise_Exception',"Remember guess guessing first: Budi: fish, what fish is a triangular shape?Aisyah: Fish Sepat Budi: Not right AYY AISYAH: Then what is!*Urgent curious Budi: IkanCutlu .. NB: Instantly silence, 5 seconds later laughing shyly.Wkwkwkwk #recehkantwitter","Remember the guess of the guess of the fish mind, what fish is aisyah the form of aisyah fish sepat Budi is not right, dear aisyah, what do you want to be curious about Budi IkanCutlu NB instantly quietly then laughs embarrassed by twitter","Remember to guess the guess of the fish mind, what fish is aisyah in the form of aisyah fish sepat Budi is not right, dear aisyah, what do you want to be curious about Budi Kancut L NB instantly silence then laugh embarrassed by the twitter","Remember guess guessing first: Budi: fish, what fish is a triangular shape?Aisyah: Fish Sepat Budi: Not right AYY AISYAH: Then what is!*Urgent curious Budi: IkanCutlu .. NB: Instantly silence, 5 seconds later laughing shyly.Wkwkwkwk #recehkantwitter",Error: 'Translator' object has no attribute 'raise_Exception'
fear,"+ Oleh paman nya kemarin. Namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini mas jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang +",oleh paman nya kemarin namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa satu buah papan nama bertuliskan namanya ini mas jefry tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang,"Oleh paman nya kemarin. Namun tiba-tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini Mas Jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang.",oleh paman nya kemarin namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa satu buah papan nama bertuliskan namanya ini mas jefry tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang,"by his uncle yesterday but suddenly a middle -aged man came over to him while carrying a nameplate with his name, Mas Jefry asked him with a little doubt because he seemed to be afraid of mistaken people","By his uncle yesterday.But suddenly a middle-aged man came over to him while carrying a nameplate with his name.""Is this Jefry?""He asked with a little doubtful because it seemed like he was afraid to mistake people.","by his uncle yesterday but suddenly a middle -aged man came over to him while carrying a nameplate with his name, Mas Jefry asked him with a little doubt because he seemed to be afraid of mistaken people","by his uncle yesterday but suddenly a middle -aged man came over to him while carrying a nameplate with his name, Mas Jefry asked him with a little doubt because he seemed to be afraid of mistaken people","By his uncle yesterday.But suddenly a middle-aged man came over to him while carrying a nameplate with his name.""Is this Jefry?""He asked with a little doubtful because it seemed like he was afraid to mistake people.","by his uncle yesterday but suddenly a middle -aged man came over to him while carrying a nameplate with his name, Mas Jefry asked him with a little doubt because he seemed to be afraid of mistaken people"
anger,"[USERNAME] .... Harga sepatu saja 13,6 jt.... Gimana mau bicara rakyat miskin.....?? Harga sepatu 13, 6 jt. Itu = 6 x rata2 UMR /bln Rakyat ..... Masih mau ngomong kemiskinan Rakyat....??",harga sepatu saja juta bagaimana ingin bicara rakyat miskin harga sepatu juta itu x rata upah minimum regional bulan rakyat masih ingin bicara kemiskinan rakyat,"[USERNAME], harga sepatu saja 13,6 juta. Bagaimana mau bicara soal rakyat miskin? Harga sepatu 13,6 juta itu sama dengan enam kali rata-rata UMR per bulan rakyat. Masih mau membahas kemiskinan rakyat?",harga sepatu saja juta bagaimana ingin bicara soal rakyat miskin harga sepatu juta itu sama dengan enam kali rata rata upah minimum regional per bulan rakyat masih ingin membahas kemiskinan rakyat,the price of shoes only millions how to talk to the poor people the price of millions of shoes x the average regional minimum wage of the people still want to talk about poverty of the people,Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception',the price of shoes only millions how to talk to the poor people the price of millions of shoes x the average regional minimum wage of the people still want to talk about poverty of the people,Error: 'Translator' object has no attribute 'raise_Exception',the price of shoes only million how to talk about the poor people the price of million shoes is the same as six times the average regional minimum wage per month still wants to discuss the poverty of the people
anger,#CalonPenghuniNeraka INI SERIUS Buat elu semua para player troll player toxic player noob terutama di game vainglory Elu gak gue maafin. Jancok Neraka bangsaaaaat,calon penghuni neraka ini serius buat lu semua para player memancing kemarahan player toxic player cupu terutama di game vainglory lu tidak saya memaafi jancok neraka bangsaat,"#CalonPenghuniNeraka INI SERIUS Buat kalian semua para pemain troll, pemain toxic, pemain noob terutama di game vainglory Kalian tidak akan aku maafkan. Jancok, Neraka bangsat!",calon penghuni neraka ini serius buat kalian semua para pemain memancing kemarahan pemain toxic pemain cupu terutama di game vainglory kalian tidak akan saya maafkan jancok neraka bangsat,"Prospective residents of this hell are serious for all of you players provoked the anger of the Player Toxic Player Cupu, especially in the Vainglory game, I did not forgive the Hell of Hell Bangs Aat","#Calonpenghunineraka is serious for all of you troll players, toxic players, noob players, especially in your Vainglory game, I will not forgive.Jancok, hell bastard!","Prospective residents of this hell are serious for all of you players provoked the anger of the toxic players cupu players, especially in your Vainglory game, I will not forgive the bastard",Error: 'Translator' object has no attribute 'raise_Exception',"#Calonpenghunineraka is serious for all of you troll players, toxic players, noob players, especially in your Vainglory game, I will not forgive.Jancok, hell bastard!","Prospective residents of this hell are serious for all of you players provoked the anger of the toxic players cupu players, especially in your Vainglory game, I will not forgive the bastard"
happy,"LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side nya gitu tp jir berhasil banget, vibe nya fierce tp vurnerable + seducing at the same time. W paling suka lagu Love Leaks sm I've Been Fine [URL]",lovelaws tt tidak paham saya sama mbak gitaris warpaint satu ini keren banget saya dengar album ini mirip exposing dia romantic samping nya begitu tetapi anjing berhasil banget atmosfer nya fierce tetapi rentan menggoda at the sama time saya paling suka lagu cinta leaks sama i ve sudah fine,"LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side-nya gitu tapi jir berhasil banget, vibe-nya fierce tapi vulnerable dan seducing at the same time. W paling suka lagu Love Leaks sama I've Been Fine [URL]",lovelaws tt tidak paham saya sama mbak gitaris warpaint satu ini keren banget saya dengar album ini mirip exposing dia romantic samping nya begitu tetapi anjing berhasil banget atmosfer nya fierce tetapi vulnerable dan menggoda at the sama time saya paling suka lagu cinta leaks sama i ve sudah fine,"Lovelaws TT doesn't understand me with Ms. Warpaint guitarist, this one is really cool, I hear this album similar to exposing, she is romantic, but the dog is very successful in the atmosphere of Fierce but vulnerable to teasing at the and time I like the song Cinta Leaks with I Ve already fine","Lovelaws - TT (2018) doesn't understand me with this one Warpaint guitarist, it's really cool.I hear this album like exposing her romantic side like that but jir is really successful, Fierce's vibe but vulnerable and seducing at the same time.W most likes the song Love Leaks with I've Been Fine [URL]","Lovelaws TT doesn't understand me with Ms. Warpaint guitarist, this one is really cool, I hear this album like exposing, she is romantic, but the dog is very successful in the atmosphere of Fierce but vulnerable and teasing at the same time I like the song Cinta Leaks with I Ve already fine",Error: 'Translator' object has no attribute 'raise_Exception',"Lovelaws - TT (2018) doesn't understand me with this one Warpaint guitarist, it's really cool.I hear this album like exposing her romantic side like that but jir is really successful, Fierce's vibe but vulnerable and seducing at the same time.W most likes the song Love Leaks with I've Been Fine [URL]","Lovelaws TT doesn't understand me with Ms. Warpaint guitarist, this one is really cool, I hear this album like exposing, she is romantic, but the dog is very successful in the atmosphere of Fierce but vulnerable and teasing at the same time I like the song Cinta Leaks with I Ve already fine"
happy,Dulu kaya hampir setengah jam atau 2*x sesi jelasin org korea kata *Cie*...sampe pake di dramain biat pd nyambung... Akhirnya baru pd ngerti dan nemu padanan kata ke korea.. trus skrg gw yg lupa bhs koreanya cie apa hahahhaa [URL],dulu kayak hampir setengah jam atau x sesi jelasin orang korea kata cie sampai pakai di dramain agar pada menyambung akhirnya baru pada mengerti dan temu padanan kata ke korea terus sekarang saya yang lupa bahas koreanya cie apa tertawa,"Dulu kaya hampir setengah jam atau dua kali sesi jelasin orang Korea kata ""Cie"" ... sampai pake di drama biar pada nyambung ... Akhirnya baru pada ngerti dan nemu padanan kata ke Korea .. trus sekarang gw yang lupa bahasa Koreanya cie apa hahahhaa [URL]",dulu kayak hampir setengah jam atau dua kali sesi jelasin orang korea kata cie sampai pakai di drama biar pada menyambung akhirnya baru pada mengerti dan temu padanan kata ke korea terus sekarang saya yang lupa bahasa koreanya cie apa tertawa,It used to be almost half an hour or x sessions explain Korean people said cie until we use it in Dramain to connect finally only to understand and meet the equivalent word to Korea and now I forget to discuss the chores cie or laugh,"It used to be like almost half an hour or two sessions explain Korean people the word ""cie"" ... to use in the drama so that it connects ... finally just understand and find the equivalent word to korea ... then now I forget what the Korean language is ciehahahhaa [url]",It used to be almost half an hour or two sessions explain Korean people said Cie until wearing it in the drama so that it continued to continue to understand and meet the word equivalent to Korea then now I forget the Korean language Cie or laugh,It used to be almost half an hour or x sessions explain Korean people said cie until we use it in Dramain to connect finally only to understand and meet the equivalent word to Korea and now I forget to discuss the chores cie or laugh,"It used to be like almost half an hour or two sessions explain Korean people the word ""cie"" ... to use in the drama so that it connects ... finally just understand and find the equivalent word to korea ... then now I forget what the Korean language is ciehahahhaa [url]",It used to be almost half an hour or two sessions explain Korean people said Cie until wearing it in the drama so that it continued to continue to understand and meet the word equivalent to Korea then now I forget the Korean language Cie or laugh
fear,punya kebiasaan kekamar mandi tengah malem berhubung kamarmandinya lagi dibenerin jadi pake kamarmandi tempat lain tapi kamarmandinya serem I'm scared &gt&,punya kebiasaan ke kamar mandi tengah malam berhubung kamarmandinya sedang dibenarkan jadi pakai kamarmandi tempat lain tetapi kamarmandinya seram i sama takut begitu,"Punya kebiasaan ke kamar mandi tengah malam berhubung kamar mandinya lagi diperbaiki jadi pakai kamar mandi tempat lain tapi kamar mandinya serem, I'm scared 😨",punya kebiasaan ke kamar mandi tengah malam berhubung kamar mandinya sedang diperbaiki jadi pakai kamar mandi tempat lain tetapi kamar mandinya seram i sama takut,"have a habit to go to the bathroom in the middle of the night because the room is being justified so wearing a roommandi other places, but the rooms are scary","Have a habit to go to the bathroom in the middle of the night because the bathroom is repaired again so wearing the bathroom other places but the bathroom is scary, I'm scared 😨",Error: 'Translator' object has no attribute 'raise_Exception',"have a habit to go to the bathroom in the middle of the night because the room is being justified so wearing a roommandi other places, but the rooms are scary","Have a habit to go to the bathroom in the middle of the night because the bathroom is repaired again so wearing the bathroom other places but the bathroom is scary, I'm scared 😨",have a habit to go to the bathroom in the middle of the night because the bathroom is being repaired so wearing the bathroom other places but the bathroom is scary and scared
anger,"ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SKRG LAMBAT BGT INSTAGRAM GA KE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSEN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SELAMBAT INI [USERNAME]",eling tidak sih nih biasanya secepat kilat sekarang lambat sangat instagram tidak ke refresh sama sekali twitter juga sama bagaimana nih bosan menanyakan nomor terus tetapi sudah hari selambat ini,"ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SEKARANG LAMBAT BANGET INSTAGRAM GAKE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSAN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SE LAMBAT INI.",eling tidak sih nih biasanya secepat kilat sekarang lambat sekali instagram gake refresh sama sekali twitter juga sama bagaimana nih bosan menanyakan nomor terus tetapi sudah hari se lambat ini,"Eling isn't, usually as fast as lightning, now slowly Instagram doesn't refresh at all Twitter is also the same as how tired",Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception',"Eling isn't, usually as fast as lightning, now slowly Instagram doesn't refresh at all Twitter is also the same as how tired","Eling isn't 3 ???? !!!!!!Usually as fast as lightning, now it's really slow Instagram to not refresh at all Twitter is the same !!!!!!!!!!!What do you do?Tired of asking the number first but it's been 5 days as slow as this.","Eling isn't, it's usually as fast as lightning now, now slowly, Instagram, I don't refresh at all, Twitter is the same as how to get bored asking the number but it's been this slow day"
